Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,LoggerTemp,External Voltage,RPM,F Heave,F Roll,R Heave,R Roll,InlineAcc,LateralAcc,VerticalAcc,RollRate,PitchRate,YawRate,Luminosity,Inverter Enable,D4 Gate Driver B,D3 Module C,D1 Control Board,D4 Torque Shudde,D3 Motor Tempera,D2 Motor Speed,D4 DC Bus Curren,D1 Phase A Curre,D3 Phase C Curre,D2 Phase B Curre,D4 VBC Vq Voltag,D3 VAB Vd Voltag,D2 Output Voltag,D1 DC Bus Voltag,D4 Iq,D3 Id,D2 Flux Feedback,D1 Flux Command,D7 Direction Com,D6 Inverter Enab,D7 BMS Torque Li,D1 Commanded Tor,D2 Torque Feedba,D4 Iq Command,D3 Id Command,Fast Torque Comm,Fast Torque Feed,Fast Motor Speed,Fast DC Bus Volt,Inverter Enable dup 1,Speed Mode Enabl,Direction Comman,Torque Command,Inverter Dischar,Torque Limit Com,Current,Voltage,RDTActive,D3 HV Input Current,SteeringWheelPos,BrakeLightActive,TSAL Active,BrakeSensor1,BrakeSensor2,SpeedFrontRight,SpeedRearLeft,SpeedFrontLeft,SpeedRearRight,SpeedFrontRightMph,SpeedRearLeftMph,SpeedFrontLeftMph,SpeedRearRightMph,FrontLeft,FrontRight,RearLeft,RearRight,Temperature,CoolantTemp,MotorPumpStatus1,MotorPumpStatus2,APPS1,APPS2,LV Current,LV Voltage,HeartBit,Pack Current,Pack Inst Voltag,Pack SOC,Average Temperat,Pack DCL,High Temperature,Low Temperature,High Cell Voltag,Low Cell Voltage,MultiPurpose  01,Maximum Pack Vol,Minimum Cell Vol,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS Radius,GPS Latitude,GPS Longitude,Distance on GPS Speed
0,4.5169,5,0,0,-0.0008,55.2787,0,320.4348,200,10.3,10000,40.84901876,-80.34534029,45.3125,11.296,0,14.3438,-3.1582,10.0156,-2.7754,-0.0165,-0.0234,-0.9922,1.458,-0.1998,-0.8604,62.875,0,38.1,34.2,37.5,0,41.1,11,0,0,-0.1,0.5,1,-0.1,0,1.6,0.6,-0.2,-18.542,0.034,1,0,0,0,0.3,0,0,0,-0.2,12,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,5.24,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,36.6875,0,0,0,-2.48,-2.68,1.85,19370,0,0,338099.9688,49.5,27,156,40,14,21.1,13.2,1,0,0,10.1041,5,0,0,-0.0008,55.2787,0,320.4348,3175700,10000,40.849,-80.3453,0
0.05,4.5169,5,0,0,-0.0008,55.2787,0,320.4348,200,10.3,10000,40.84901876,-80.34534029,45.3125,11.296,0,14.3438,-3.1582,10.0156,-2.7754,-0.0204,-0.0171,-0.9915,1.458,-0.1998,-0.8604,62.875,0,38.1,34.2,37.5,0,41.1,11,0,0,-0.1,0.5,1,-0.1,0,1.6,0.6,-0.2,-18.542,0.034,1,0,0,0,0.3,0,0,0,-0.2,12,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,5.24,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,36.6875,0,0,0,-2.48,-2.68,1.85,19370,0,0,338099.9688,49.5,27,156,40,14,21.1,13.2,1,0,0,10.1041,5,0,0,-0.0008,55.2787,0,320.4348,3175700,10000,40.849,-80.3453,0.101
0.1,4.5169,5,0,0,-0.0008,55.2787,0,320.4348,200,10.3,10000,40.84901876,-80.34534029,45.3125,11.296,0,14.3438,-3.1582,10.0156,-2.7754,-0.0194,-0.0182,-0.9902,1.458,-0.1998,-0.8604,62.875,0,38.1,34.2,37.5,0,41.1,11,0,0,-0.1,0.5,1,-0.1,0,1.6,0.6,-0.2,-18.542,0.034,1,0,0,0,0.3,0,0,0,-0.2,12,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,5.24,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,36.6875,0,0,0,-2.48,-2.68,1.85,19370,0,0,338099.9688,49.5,27,156,40,14,21.1,13.2,1,0,0,10.1041,5,0,0,-0.0008,55.2787,0,320.4348,3175700,10000,40.849,-80.3453,0.2019
0.15,4.5169,5,0,0,-0.0008,55.2787,0,320.4348,200,10.3,10000,40.84901876,-80.34534029,45.3125,11.296,0,14.3438,-3.1582,10.0156,-2.7754,-0.017,-0.021,-0.9902,1.458,-0.1998,-0.8604,62.875,0,38.1,34.2,37.5,0,41.1,11,0,0,-0.1,0.5,1,-0.1,0,1.6,0.6,-0.2,-18.542,0.034,1,0,0,0,0.3,0,0,0,-0.2,12,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,5.24,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,36.6875,0,0,0,-2.48,-2.68,1.85,19370,0,0,338099.9688,49.5,27,156,40,14,21.1,13.2,1,0,0,10.1041,5,0,0,-0.0008,55.2787,0,320.4348,3175700,10000,40.849,-80.3453,0.3029
0.2,4.5169,5,0,0,-0.0008,55.2787,0,320.4348,200,10.3,10000,40.84901876,-80.34534029,45.3125,11.296,0,14.3438,-3.1582,10.0156,-2.7754,-0.0167,-0.0215,-0.9912,1.458,-0.1998,-0.8604,62.875,0,38.1,34.2,37.5,0,41.1,11,0,0,-0.1,0.5,1,-0.1,0,1.6,0.6,-0.2,-18.542,0.034,1,0,0,0,0.3,0,0,0,-0.2,12,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,5.24,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,36.6875,0,0,0,-2.48,-2.68,1.85,19370,0,0,338099.9688,49.5,27,156,40,14,21.1,13.2,1,0,0,10.1041,5,0,0,-0.0008,55.2787,0,320.4348,3175700,10000,40.849,-80.3453,0.4039
0.25,4.5169,5,0,0,-0.0008,55.2787,0,320.4348,200,10.3,10000,40.84901876,-80.34534029,45.3125,11.296,0,14.3438,-3.1582,10.0156,-2.7754,-0.0164,-0.0202,-0.9917,1.4658,-0.2512,-0.8887,62.875,0,38.1,34.2,37.5,0,41.1,11,0,0,-0.1,0.5,1,-0.1,0,1.6,0.6,-0.2,-18.542,0.034,1,0,0,0,0.3,0,0,0,-0.2,12,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,5.24,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,36.6875,0,0,0,-2.48,-2.68,1.85,19370,0,0,338099.9688,49.5,27,156,40,14,21.1,13.2,1,0,0,10.1041,5,0,0,-0.0008,55.2787,0,320.4348,3175700,10000,40.849,-80.3453,0.5048
0.3,4.5169,5,0,0,-0.0008,55.2787,0,320.4348,200,10.3,10000,40.84901876,-80.34534029,45.3125,11.296,0,14.3438,-3.1582,10.0156,-2.7754,-0.0179,-0.0191,-0.9897,1.4756,-0.2893,-0.8804,62.875,0,38.1,34.2,37.5,0,41.1,11,0,0,-0.1,0.5,1,-0.1,0,1.6,0.6,-0.2,-18.542,0.034,1,0,0,0,0.3,0,0,0,-0.2,12,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,5.24,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,36.6875,0,0,0,-2.48,-2.68,1.838,19364.8574,0,0,338099.9688,49.5,27,156,40,14,21.1,13.2,1,0,0,10.1041,5,0,0,-0.0008,55.2787,0,320.4348,3175700,10000,40.849,-80.3453,0.6058
0.35,4.5169,5,0,0,-0.0008,55.2787,0,320.4348,200,10.3,10000,40.84901876,-80.34534029,45.3125,11.296,0,14.3438,-3.1582,10.0156,-2.7754,-0.0195,-0.0204,-0.99,1.4717,-0.1838,-0.9321,62.875,0,38.1,34.2,37.5,0,41.1,11,0,0,-0.1,0.5,1,-0.1,0,1.6,0.6,-0.2,-18.542,0.034,1,0,0,0,0.3,0,0,0,-0.2,12,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,5.24,2.918,0,0,0,0,0,0,0,0,0,0,0,0,36.6875,0,0,0,-2.4791,-2.68,1.8047,19350.5723,0,0,338099.9688,49.5,27,156,40,14,21.1154,13.2,1,0,0,10.1041,5,0,0,-0.0008,55.2787,0,320.4348,3175700,10000,40.849,-80.3453,0.7067
0.4,4.5169,5,0,0,-0.0008,55.2787,0,320.4348,200,10.3,10000,40.84901876,-80.34534029,45.3125,11.296,0,14.343,-3.1506,10.0148,-2.7918,-0.0188,-0.021,-0.9902,1.4629,-0.1356,-0.9277,62.875,0,38.1,34.2,37.5,0,41.1,9.6275,0,0.3431,0.3461,0.6716,0.6569,-0.4775,0,1.6,0.7765,0.5412,-18.542,0.034,1,0,0,0,0.3706,0,0,0,-0.1194,10.3871,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,5.24,2.8902,0,0,0,0,0,0,0,0,0,0,0,0,36.6875,0,0,0,-2.4639,-2.68,1.7887,19344.9531,0,0,338099.9688,49.5,27,156,40,14,21.1635,13.2,1,0,0,10.1041,5,0,0,-0.0008,55.2787,0,320.4348,3175700,10000,40.849,-80.3453,0.8077
0.45,4.5169,5,0,0,-0.0008,55.2787,0,320.4348,200,10.3,10000,40.84901876,-80.34534029,45.3023,11.2934,0,14.3523,-3.1498,10.0289,-2.7715,-0.0187,-0.0184,-0.9907,1.4956,-0.1772,-0.8633,62.5297,0,38.1,34.2,37.5,0,41.1,7.6667,0,0.8333,0.9833,0.9167,0.1667,-1.0167,0,1.6,1.0216,1.5706,-18.542,0.034,1,0,0,0,0.4686,0,0,0,0.0419,7.1613,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,5.24,2.8751,0,0,0,0,0,0,0,0,0,0,0,0,36.6875,0,0,0,-2.4512,-2.68,1.822,19364,0,0,338099.9688,49.5,27,156,40,14,21.2115,13.2,1,0,0,10.1041,5,0,0,-0.0008,55.2787,0,320.4348,3175700,10000,40.849,-80.3453,0.9087
